Bird,Total_songs_set1,total_w_songs_set_1,real_matchW_set1,match_Whistle_songs_set1,Total_songs_set2,total_w_songs_set_2,real_matchW_set2,match_Whistle_songs_set2,,,,,,,,,,,
AShyRonny,1478,269,181,176,1200,229,169,166,,,,,,,,,,,
Biggie,1302,238,173,157,1369,215,161,138,,,,,,,,,,,
Coco,1445,190,134,132,1027,136,118,115,,,,,,,,,,,
Finnegan,nan,nan,nan,nan,708,124,103,102,,,,,,,,,,,
Grandmaster,1063,115,100,97,1104,91,73,72,,,,,,,,,,,
Isaac,1143,165,126,123,1080,81,56,55,,,,,,,,,,,
Legolas,nan,nan,nan,nan,910,114,89,86,,,Kermit,1176,160,115,102,1005,134,112,100
Nnandi,1178,179,144,138,1085,180,132,124,,,,,,,,,,,
Quentin,1333,213,145,134,1050,192,132,124,,,,,,,,,,,
Reginald,1023,150,130,124,941,134,129,119,,,Ozzy,1063,109,91,90,999,95,76,76
Uilli,nan,nan,nan,nan,1430,309,141,129,,,,,,,,,,,
