start,end,pb,start,end,bird
0.501134,2.844898,2400,8.920181,14.24762,2152.642
0.639524,3.758889,2400,3.319047,3.578095,2541.078
1.294422,4.392018,3200,3.342313,4.404898,3463.936
0.966893,4.109297,2400,3.856417,5.749297,2430.763
0.460771,3.522018,5000,2.620635,3.723605,4736.872
0.671315,3.753742,6000,4.3161,4.523469,6371.231
0.54034,3.652086,3200,4.081293,5.38424,2867.054
0.866009,3.960658,2400,4.527052,6.012812,2229.931
0.814422,3.873469,5000,2.959728,4.826939,4847.676
0.549184,3.661224,2800,12.63918,14.52551,3282.569
0.475714,3.587143,2800,4.572857,6.63,3130.214
0.84898,3.94068,2400,3.526803,5.327347,2423.838
0.456417,3.601995,3200,3.96898,5.110023,3410.859
0.811497,3.951338,2400,4.283469,5.27644,1515.938
0.565873,3.684694,3200,2.790249,3.486508,3410.859
0.740136,3.808073,6000,2.914104,3.082449,6511.641
0.387619,3.483333,6000,7.37,7.569047,6373.828
0.509637,3.651814,2400,3.831066,4.966326,2342.812
0.758141,3.956236,2800,3.515918,4.767347,2825.156
1.141678,4.213424,2400,3.350657,4.964626,2687.344
1.004807,4.175148,3200,5.093333,6.288707,2825.156
0.725737,3.897166,3200,3.66644,3.997846,3307.5
0.663651,3.75873,5000,8.345555,8.70381,6442.734
0.557007,3.642449,5000,3.022857,3.323265,5788.125
0.860771,3.956236,6000,13.67302,14.73243,5891.484
0.653991,3.746372,6000,4.439342,5.270907,6304.922
0.623742,3.718911,2800,3.993515,5.080159,2583.984
0.621088,3.756644,3200,4.102948,5.11551,3445.312
0.44585,3.52068,3200,12.16095,13.85211,3458.824
0.642041,3.731519,2800,7.841678,9.504399,2594.118
1.047551,4.186191,2400,4.511292,6.20102,2341.912
0.57483,3.673469,5000,3.877551,4.748299,4847.872
0.580952,3.707143,3200,1.866667,3.097619,2810.294
